"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"845","~year2 + season2 * sex","~year2","~year2 + season2 * sex","Phi(~year2 + season2 * sex)p(~year2)f(~year2 + season2 * sex)",39,17439.702738657,0,0.271112203147229,586.59356
"723","~year2 + season2 + sex","~time + sex","~year2 + season2 * sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~year2 + season2 * sex)",50,17439.7527996965,0.050061039524735,0.264410349137163,564.04023
"854","~year2 + season2 * sex","~year2 + sex","~year2 + season2 * sex","Phi(~year2 + season2 * sex)p(~year2 + sex)f(~year2 + season2 * sex)",40,17440.9624357035,1.25969704649469,0.144414010257721,585.80485
"713","~year2 + season2 + sex","~time","~year2 + season2 * sex","Phi(~year2 + season2 + sex)p(~time)f(~year2 + season2 * sex)",49,17441.8436504854,2.14091182845004,0.09295140732501,568.1921
"725","~year2 + season2 + sex","~time + sex","~year2 * season2 + sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~year2 * season2 + sex)",58,17442.5641417706,2.86140311362396,0.0648340684011466,550.31737
"770","~year2 + season2 + sex","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",58,17442.6781417706,2.97540311362536,0.0612418765045838,550.43139
"838","~year2 + season2 * sex","~time + sex","~year2 * season2 + sex","Phi(~year2 + season2 * sex)p(~time + sex)f(~year2 * season2 + sex)",59,17443.6475952526,3.94485659560087,0.0377167567241083,549.32755
"877","~year2 + season2 * sex","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",59,17443.6545952526,3.95185659560229,0.0375849788214001,549.33451
"769","~year2 + season2 + sex","~year2 * season2 + sex","~year2 * season2","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~year2 * season2)",57,17445.7019489051,5.99921024812284,0.013503212834676,555.52613
"732","~year2 + season2 + sex","~year2","~year2 + season2 * sex","Phi(~year2 + season2 + sex)p(~year2)f(~year2 + season2 * sex)",38,17448.0872806169,8.38454195988743,0.00409702782051296,597.02626
