StationCode,DateObs,ClimaticMean,ArithmeticMean,NumDataPoints,Ts00,Ts12,MaxTemperature,MinTemperature
,,,,,,,,
330021,1/1/1970,20.7,20.7,24,22.6,15.4,29.6,12.3
330021,2/1/1970,20.4,20.4,24,22.5,16.9,28.8,13.1
330021,3/1/1970,20.8,20.6,8,20,16.4,29.2,12.4
330021,4/1/1970,15.9,15.9,24,18.3,15.3,18.8,11.9
330021,5/1/1970,19.1,19.1,24,20.2,15.5,27.7,14.4
330021,6/1/1970,18.7,18.7,24,18,15.7,27.7,9.7
330021,7/1/1970,17.6,17.6,24,22.8,13.6,,
330021,8/1/1970,21.8,21.8,24,26.6,16.2,33.6,10.8
330021,9/1/1970,23.1,23.1,24,24.7,18.6,34.8,10.9
330021,10/1/1970,21.6,21.6,24,24.2,15.5,31.8,10.8
330021,11/1/1970,21.7,21.7,24,25,16.2,32.6,11.2
330021,12/1/1970,20.3,20.3,24,22.3,15,29,11.8
330021,13/01/1970,20.8,20.8,24,22.8,15.4,30.4,11.2
330021,14/01/1970,19.9,19.9,24,18.3,13.2,30.2,10.4
330021,15/01/1970,18.1,18.1,24,18.3,13.2,26.6,10.4
330021,16/01/1970,17.6,17.6,24,19.6,14.8,25.6,9.8
330021,17/01/1970,17.7,17.7,24,20.4,13.8,25.6,11.2
330021,18/01/1970,19.5,19.5,24,23.8,14.4,30,9.6
330021,19/01/1970,20.1,20.1,24,23.4,14.5,30.9,11
330021,20/01/1970,19.8,19.8,24,19.8,12.8,29.1,11.6
330021,21/01/1970,18.9,18.9,24,21.8,14.6,28.2,11.6
330021,22/01/1970,19.8,19.8,24,19.8,15.7,29.1,11.3
330021,23/01/1970,17.9,17.9,24,19.4,13.4,25.8,11.6
330021,24/01/1970,18.3,18.3,24,22,12.3,28.7,7.6
330021,25/01/1970,19.5,19.5,24,20,14.4,28.2,10.9
330021,26/01/1970,19,19,24,20.2,14.4,29,8.2
330021,27/01/1970,17.6,17.6,24,19,12.6,26.4,10.8
330021,28/01/1970,17.8,17.8,24,22.1,13,28.2,8.6
330021,29/01/1970,21.9,21.9,24,27,15.3,34.3,11.2
330021,30/01/1970,22.5,22.5,24,23,18.4,30.8,11.8
330021,31/01/1970,20.8,20.8,24,22.6,15.4,30.4,11.5
330021,1/2/1970,17.8,17.8,24,18.6,15.1,23,13.6
330021,2/2/1970,19.8,19.8,24,22.9,15.2,30,12.2
330021,3/2/1970,20.8,20.8,24,22.3,14.5,29.8,11.2
330021,4/2/1970,19.1,19.1,24,18,15.2,27.6,11.4
330021,5/2/1970,17.5,17.5,24,18.4,13.2,25,11.8
330021,6/2/1970,18.3,18.3,24,24.2,10.8,28.6,6.4
330021,7/2/1970,21,21,24,23.7,15,32.6,9
330021,8/2/1970,21.4,21.4,24,22.8,13.3,33.1,9.4
330021,9/2/1970,21,21,24,25.8,14.6,32.2,11.6
330021,10/2/1970,23.2,23.2,24,25.8,15.7,35.2,11.7
330021,11/2/1970,23.4,23.4,24,27.6,16.1,34.2,12.1
330021,12/2/1970,23.2,23.2,24,27,15.9,34,10.4
330021,13/02/1970,23.1,23.1,24,22.6,14.8,32.6,12.1
330021,14/02/1970,20.4,20.4,24,21,14.2,31.8,11
330021,15/02/1970,20.1,20.1,24,21.4,14.7,29.3,11.8
330021,16/02/1970,21.6,21.6,24,26.2,14.6,33.2,12.2
330021,17/02/1970,23,23,24,22.6,16.8,32.4,8
330021,18/02/1970,19.6,19.6,24,22.1,12.3,29.4,11.3
330021,19/02/1970,20.1,20.1,24,20.6,14.7,28.8,11.5
330021,20/02/1970,20.2,20.2,24,23.2,15.6,30.4,11.4
330021,21/02/1970,21.1,21.1,24,25.8,14.9,31,12.2
330021,22/02/1970,22.3,22.3,24,22.6,14.2,32.8,12.4
330021,23/02/1970,20.2,20.2,24,21.1,14.3,29.4,11.6
330021,24/02/1970,17.7,17.7,24,18.8,13.8,23.8,12.6
330021,25/02/1970,18.2,18.2,24,19,14.6,26.4,13.4
330021,26/02/1970,18.3,18.3,24,19,15.6,24.9,13.8
330021,27/02/1970,17.5,17.5,24,21.9,11,27.6,8
330021,28/02/1970,19.5,19.5,24,20.4,12.6,28.2,9.8
330021,1/3/1970,17.8,17.8,24,19.8,11.8,25.8,9.4
330021,2/3/1970,17.6,17.6,24,21,11.3,27,10
330021,3/3/1970,19.2,19.2,24,22.6,12.6,29.8,10.2
330021,4/3/1970,20.6,20.6,24,24.2,12.4,30,10.6
330021,5/3/1970,21.6,21.6,24,23.6,15,30.6,13.6
330021,6/3/1970,20.7,20.7,24,24,12.8,32.8,10.5
330021,7/3/1970,20.4,20.4,24,21,12.2,30,10.7
330021,8/3/1970,18.6,18.6,24,19.3,10.3,28.8,8.5
330021,9/3/1970,17.5,17.5,24,19.4,13,27.2,12
330021,10/3/1970,19.1,19.1,24,21,13.4,28,12.2
330021,11/3/1970,19,19,24,22,12,29.8,10
330021,12/3/1970,19.8,19.8,24,22.4,11.8,29.4,8.4
330021,13/03/1970,19.6,19.6,24,22.2,10.6,29.9,9.4
330021,14/03/1970,18.3,18.3,24,17.6,13.2,28,8.4
330021,15/03/1970,15.6,15.6,24,18,10.6,22.4,10
330021,16/03/1970,15.7,15.7,24,20.8,10.8,23.5,8
330021,17/03/1970,17.2,17.2,24,17.9,8.4,27.2,7
330021,18/03/1970,16.4,16.4,24,18.1,9.6,25.6,7.4
330021,19/03/1970,16.6,16.6,24,18.9,8.2,26.7,7.8
330021,20/03/1970,17.3,17.3,24,21.1,9.2,27.4,8
330021,21/03/1970,18.4,18.4,24,21.6,9.5,28.6,8.6
330021,22/03/1970,19.1,19.1,24,20.2,11.6,27.6,8
330021,23/03/1970,18.4,18.4,24,23.6,11.9,29.5,8.7
330021,24/03/1970,19.3,19.3,24,24,9.3,30.6,7.8
330021,25/03/1970,19.9,19.9,24,23.6,10,31.4,8.4
330021,26/03/1970,20.9,20.9,24,25.4,11.6,33.2,10.2
330021,27/03/1970,20.2,20.2,24,18.8,16.8,28,12
330021,28/03/1970,16.9,16.9,24,19.6,9,26.2,6.6
330021,29/03/1970,17.6,17.6,24,19,9,26.8,6.3
330021,30/03/1970,17.2,17.2,24,20.3,8.9,28.6,7.8
330021,31/03/1970,17.3,17.3,24,18.6,8,25,7.8
330021,1/4/1970,15.3,15.3,24,18.5,7.6,23.8,4.8
330021,2/4/1970,17.2,17.2,24,17.6,7.4,27.4,7
330021,3/4/1970,15.4,15.4,24,17.6,7.2,24.3,
330021,4/4/1970,17.4,17.4,24,19.6,8.4,27.9,
330021,5/4/1970,17.3,17.3,24,20.4,9.8,29,6.8
330021,6/4/1970,18.2,18.2,24,19.6,7.3,30.2,6.5
330021,7/4/1970,17.2,17.2,24,16.6,9,27.3,6.5
330021,8/4/1970,16,16,24,20,7.6,28.6,6
330021,9/4/1970,18.5,18.5,24,21.2,8.2,30.2,7.6
330021,10/4/1970,17.9,17.9,24,17.8,9.7,29.2,8
330021,11/4/1970,16,16,24,19.8,4.4,26.8,4.3
330021,12/4/1970,18,18,24,21,9.1,29,7.7
330021,13/04/1970,17.7,17.7,24,20.6,8.8,27,8
330021,14/04/1970,18.1,18.1,24,21.4,8.2,28.6,6
330021,15/04/1970,19.1,19.1,24,19,7.7,28.9,7.2
330021,16/04/1970,16.8,16.8,24,16.1,7.7,26.8,6.6
330021,17/04/1970,13.6,13.6,24,15,9.6,21.4,0.9
330021,18/04/1970,14,14,24,18,4.8,25.3,4
330021,19/04/1970,16.6,16.6,24,20.3,5.6,29,5.2
330021,20/04/1970,17,17,24,17.9,5.9,28.4,4.3
330021,21/04/1970,16.6,16.6,24,16.6,8.1,27.2,6.4
330021,22/04/1970,14.8,14.8,24,17.3,6,24,4
330021,23/04/1970,15,15,24,15.4,8.6,25.2,5.1
330021,24/04/1970,14.7,14.7,24,16.7,7.6,24.6,7.4
330021,25/04/1970,13.5,13.5,24,14.6,11.4,19,11.1
330021,26/04/1970,13.2,13.2,24,15,3.3,23.4,2.9
330021,27/04/1970,14,14,24,18.4,7,24.2,4.1
330021,28/04/1970,13.9,13.9,24,17.4,3.4,26.4,2.6
330021,29/04/1970,12,12,24,11.1,5.2,20.6,4.2
330021,30/04/1970,11.3,11.3,24,14.4,7.8,21.6,4.3
330021,1/5/1970,12.2,12.2,24,14.2,3.1,24.5,2
330021,2/5/1970,12.7,12.7,24,14.9,3.9,24.1,2.5
330021,3/5/1970,12.6,12.6,24,13,2.7,21.3,2.7
330021,4/5/1970,11.3,11.3,24,10,7.6,14.9,7.6
330021,5/5/1970,9.6,9.6,24,12.2,7.1,15,6.2
330021,6/5/1970,12.5,12.5,24,13,8.9,18,8.9
330021,7/5/1970,12,12,24,14,5,21.4,5
330021,8/5/1970,11.9,11.9,24,14.5,2.6,22.7,1.5
330021,9/5/1970,11.2,11.2,24,12.9,7,18.5,5
330021,10/5/1970,10.9,10.9,24,12.4,4.6,17.4,4.1
330021,11/5/1970,10.5,10.5,24,12,6.1,15.6,6.1
330021,12/5/1970,10.8,10.8,24,12,4,17.6,3.6
330021,13/05/1970,9.3,9.3,24,11.4,2.3,16.2,1.8
330021,14/05/1970,10.6,10.6,24,11.6,2.6,18,2.5
330021,15/05/1970,9.4,9.4,24,12.9,1.7,18.6,1.2
330021,16/05/1970,11.4,11.4,24,14,6.6,19.1,5.8
330021,17/05/1970,11.1,11.1,24,12,7,18.6,5.8
330021,18/05/1970,12,12,24,11.6,9.9,17,9.8
330021,19/05/1970,11,11,24,11.5,9.2,17.3,5.8
330021,20/05/1970,9.4,9.4,24,12,0.9,18.4,0.1
330021,21/05/1970,9.4,9.4,24,13.6,0,21.4,0
330021,22/05/1970,11.7,11.7,24,14,3.8,24.4,1.5
330021,23/05/1970,12.9,12.9,24,13.8,2.3,26.9,1.6
330021,24/05/1970,10.1,10.1,24,8,9.2,12.9,7.6
330021,25/05/1970,11.2,11.2,24,12.1,6.9,19,6
330021,26/05/1970,11.2,11.2,24,11.3,6.2,17.8,6.2
330021,27/05/1970,11,11,24,11,12.3,19.2,1.7
330021,28/05/1970,11.3,11.3,24,11.4,9.4,15.3,8.9
330021,29/05/1970,10.7,10.7,24,11.8,4,18.2,4
330021,30/05/1970,9.6,9.6,24,11.4,3.5,16.9,2.8
330021,31/05/1970,8.1,8.1,24,10.9,3.9,16.9,2.8
330021,1/6/1970,7,7,24,10,2,16.5,1.4
330021,2/6/1970,6,6,24,8.1,4.9,9.4,2.1
330021,3/6/1970,8.8,8.8,24,7.4,7.7,12.7,6.8
330021,4/6/1970,5.1,5.1,24,6,-1.2,12.9,-2.2
330021,5/6/1970,5.1,5.1,24,6,-0.6,13.1,-1
330021,6/6/1970,4.9,4.9,24,9.4,-2.4,14.8,-2.5
330021,7/6/1970,5.2,5.2,24,6.5,-0.3,10.6,-0.3
330021,8/6/1970,6.5,6.5,24,7.8,-1.8,15.9,-2
330021,9/6/1970,8,8,24,8,2.1,16,2
330021,10/6/1970,7.3,7.3,24,9.5,3.2,14.8,1.7
330021,11/6/1970,7,7,24,9.6,-1,16,-1.5
330021,12/6/1970,9.3,9.3,24,8.2,7.2,13,5.8
330021,13/06/1970,5.5,5.5,24,8.2,0.2,12,-0.3
330021,14/06/1970,6.5,6.5,24,8.4,0.9,15.6,0
330021,15/06/1970,6.7,6.7,24,8.2,0.2,15.3,-0.3
330021,16/06/1970,7.6,7.6,24,9.8,5,11.8,2.7
330021,17/06/1970,6.7,6.7,24,7.8,1,11.5,0.2
330021,18/06/1970,7,7,24,10,-1,18,-1.2
