Year,  Month, ET_avg,  GPP_avg,   LAI_avg,  ET_sum,  GPP_sum
2000,1,0.47419,2.2258,0,14.7,69
2000,2,0.5,2.2138,0,14.5,64.2
2000,3,0.40323,1.8355,0,12.5,56.9
2000,4,0.35667,1.15,0,10.7,34.5
2000,5,0.4,0.78065,0,12.4,24.2
2000,6,0.56667,0.74,0,17,22.2
2000,7,0.54839,1.3226,0,17,41
2000,8,0.70968,1.8194,0,22,56.4
2000,9,1.3267,3.1667,0,39.8,95
2000,10,1.5677,4.3129,0,48.6,133.7
2000,11,0.87,2.92,0,26.1,87.6
2000,12,0.53226,2.1323,0,16.5,66.1
2001,1,0.52903,2.1323,0,16.4,66.1
2001,2,0.33214,1.5036,0,9.3,42.1
2001,3,0.36452,1.4645,0,11.3,45.4
2001,4,0.34,1.28,0,10.2,38.4
2001,5,0.44194,0.72258,0,13.7,22.4
2001,6,0.38333,0.89667,0,11.5,26.9
2001,7,0.58065,1.0935,0,18,33.9
2001,8,0.89032,2.0871,0,27.6,64.7
2001,9,1.6333,4.0467,0,49,121.4
2001,10,1.6065,4.0871,0,49.8,126.7
2001,11,0.90667,3.2933,0,27.2,98.8
2001,12,0.67419,2.3484,0,20.9,72.8
2002,1,0.57742,2.1613,0,17.9,67
2002,2,0.51786,1.9607,0,14.5,54.9
2002,3,0.45806,1.7581,0,14.2,54.5
2002,4,0.47333,1.56,0,14.2,46.8
2002,5,0.51613,0.98387,0,16,30.5
2002,6,0.46333,0.91,0,13.9,27.3
2002,7,0.55806,1.2323,0.49032,17.3,38.2
2002,8,0.9,1.9355,0.85806,27.9,60
2002,9,1.7367,4.1033,1.77,52.1,123.1
2002,10,1.4194,3.9516,1.0677,44,122.5
2002,11,0.82667,3.1,0.62667,24.8,93
2002,12,0.5871,2.3935,0.58065,18.2,74.2
2003,1,0.35484,1.4581,0.40323,11,45.2
2003,2,0.23929,1.4179,0.3,6.7,39.7
2003,3,0.31935,1.1194,0.29355,9.9,34.7
2003,4,0.14667,0.65333,0.2,4.4,19.6
2003,5,0.15161,0.37097,0.12258,4.7,11.5
2003,6,0.57667,1.1933,0.60333,17.3,35.8
2003,7,0.8,2.0097,1.1387,24.8,62.3
2003,8,1.4613,3.4677,1.5742,45.3,107.5
2003,9,1.72,3.8567,1.77,51.6,115.7
2003,10,0.8871,2.7613,0.93226,27.5,85.6
2003,11,0.57333,2.06,0.5,17.2,61.8
2003,12,0.31935,1.7903,0.47097,9.9,55.5
2004,1,0.35161,1.7,0.37742,10.9,52.7
2004,2,0.39655,1.5621,0.38276,11.5,45.3
2004,3,0.30645,1.2742,0.3,9.5,39.5
2004,4,0.41,1.2733,0.27333,12.3,38.2
2004,5,0.30323,1.0935,0.3,9.4,33.9
2004,6,0.32667,0.88667,0.34667,9.8,26.6
2004,7,0.50323,1.1581,0.48387,15.6,35.9
2004,8,1.0645,2.5516,1.0387,33,79.1
2004,9,1.6667,4.0067,1.4067,50,120.2
2004,10,1.1419,3.5806,0.87742,35.4,111
2004,11,0.70333,2.3233,0.55,21.1,69.7
2004,12,0.44194,1.8161,0.50645,13.7,56.3
2005,1,0.3,1.4226,0.37742,9.3,44.1
2005,2,0.35714,1.475,0.37857,10,41.3
2005,3,0.31935,1.1677,0.32581,9.9,36.2
2005,4,0.17333,0.85333,0.22667,5.2,25.6
2005,5,0.45161,0.64516,0.22258,14,20
2005,6,0.63667,0.87,0.39,19.1,26.1
2005,7,0.72581,1.6613,0.65161,22.5,51.5
2005,8,0.90968,2.2452,1.1032,28.2,69.6
2005,9,1.5833,4.13,1.75,47.5,123.9
2005,10,1.5194,4.4161,1.1903,47.1,136.9
2005,11,0.76,2.6133,0.58,22.8,78.4
2005,12,0.54839,2.1774,0.54839,17,67.5
2006,1,0.45161,1.9097,0.45161,14,59.2
2006,2,0.44643,1.8179,0.38929,12.5,50.9
2006,3,0.24194,1.3516,0.35161,7.5,41.9
2006,4,0.22667,1.0667,0.3,6.8,32
2006,5,0.27097,0.79032,0.25484,8.4,24.5
2006,6,0.43,0.25667,0.16667,12.9,7.7
2006,7,0.65484,0.85806,0.4871,20.3,26.6
