"","orderkey","seasonkey","seasonid","season","window","year","date","julian_date","trap_type","ear_tag_id","sex","radio_collar","weight","w_collar","status","age","vulva","breeding_status","date_death","notes"
"1",1,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","1070","M",NA,142.5,NA,NA,NA,NA,NA,NA,"F-E-S1-I1"
"2",2,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","1076","F",NA,149.4,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"3",3,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","1041","F",NA,179.9,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"4",4,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","4144","F",NA,191.6,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"5",5,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","874","M",NA,149.5,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"6",6,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","994","F",NA,119,NA,NA,NA,0,NA,NA,"F-E"
"7",7,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","866","M",NA,119.6,NA,NA,NA,0,NA,NA,"F-E"
"8",8,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","1037","F",NA,148.9,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"9",9,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","325","F",NA,162.4,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"10",10,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","1048","M",NA,161.3,NA,NA,NA,0,NA,NA,"F-E"
"11",11,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","878","M",NA,138.2,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
"12",12,NA,"fall_NA_2009","fall",NA,2009,"2009-05-04",124,"T","324","F",NA,145.5,NA,NA,NA,0,NA,NA,"F-E-S1-I1"
