"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"9887","~rain_sum2 * season2 + sex + year2","~year2 + sex","~year2 * season2 + sex","Phi(~rain_sum2 * season2 + sex + year2)p(~year2 + sex)f(~year2 * season2 + sex)",49,17415.8206504854,0,0.232114670110897,542.16854
"8912","~rain_sum2 + season2 + sex + year2","~year2 + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~rain_sum2 + season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + sex + year2)",40,17416.2764357035,0.455785218044184,0.184811966011084,561.11918
"9118","~rain_sum2 + season2 + year2","~year2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~rain_sum2 + season2 + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",40,17417.4444357035,1.62378521804567,0.103062840924407,562.28723
"9858","~rain_sum2 * season2 + sex + year2","~year2 + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~rain_sum2 * season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + sex + year2)",41,17417.4523728814,1.6317223959195,0.102654637405848,560.24452
"8945","~rain_sum2 + season2 + sex + year2","~year2 + sex","~year2 * season2","Phi(~rain_sum2 + season2 + sex + year2)p(~year2 + sex)f(~year2 * season2)",47,17418.0071018799,2.18645139449291,0.0777894501674822,548.47419
"9862","~rain_sum2 * season2 + sex + year2","~year2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~rain_sum2 * season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",42,17418.931551317,3.11090083155068,0.0489980794037346,559.67252
"9114","~rain_sum2 + season2 + year2","~year2 + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~rain_sum2 + season2 + year2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + sex + year2)",39,17419.796738657,3.97608817155196,0.0317911335427901,566.68818
"9150","~rain_sum2 + season2 + year2","~year2 + sex","~year2 * season2 + sex","Phi(~rain_sum2 + season2 + year2)p(~year2 + sex)f(~year2 * season2 + sex)",47,17420.0291018799,4.20845139449375,0.028304075928733,550.49562
"8942","~rain_sum2 + season2 + sex + year2","~year2 + sex","~temp_cv2 * season2 + sex + year2","Phi(~rain_sum2 + season2 + sex + year2)p(~year2 + sex)f(~temp_cv2 * season2 + sex + year2)",41,17420.3443728814,4.52372239591932,0.0241762396768686,563.13657
"10055","~rain_sum2 * season2 + year2","~year2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~rain_sum2 * season2 + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",41,17420.3883728814,4.56772239592101,0.0236501703841343,563.18113
"11500","~temp_cv2 * season2 + sex + year2","~year2 + sex","~year2 * season2 + sex","Phi(~temp_cv2 * season2 + sex + year2)p(~year2 + sex)f(~year2 * season2 + sex)",49,17420.9966504854,5.17599999999948,0.0174481132095617,547.34488
"2190","~oni_avg2 + season2 + sex + year2","~year2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~oni_avg2 + season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",41,17421.1943728814,5.37372239591787,0.0158056950188055,563.98707
"9119","~rain_sum2 + season2 + year2","~year2 + sex","~rain_cv_lag2 * season2 + year2","Phi(~rain_sum2 + season2 + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + year2)",39,17421.459738657,5.63908817155243,0.013841722928563,568.35112
"2187","~oni_avg2 + season2 + sex + year2","~year2 + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~oni_avg2 + season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + sex + year2)",40,17422.1534357035,6.33278521804459,0.00978488558862977,566.99602
"11478","~temp_cv2 * season2 + sex + year2","~year2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~temp_cv2 * season2 + sex + year2)p(~year2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",42,17422.566551317,6.74590083155272,0.00795882281613211,563.30821
"9115","~rain_sum2 + season2 + year2","~year2 + sex","~rain_cv_lag2 + season2 + year2","Phi(~rain_sum2 + season2 + year2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + year2)",38,17422.6682806169,6.84763013144038,0.0075641232999478,571.60687
"8829","~rain_sum2 + season2 + sex + year2","~time + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~rain_sum2 + season2 + sex + year2)p(~time + sex)f(~rain_cv_lag2 * season2 + sex + year2)",52,17422.7068536289,6.88620314347281,0.00741963560057898,542.86806
