"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"146","~gpp_avg2 * season2 + sex","~time + sex","~gpp_avg2 + season2","Phi(~gpp_avg2 * season2 + sex)p(~time + sex)f(~gpp_avg2 + season2)",31,17529.0916722993,0,0.832613388666055,692.32817
"98","~gpp_avg2 * season2","~time + sex","~gpp_avg2 + season2 + sex","Phi(~gpp_avg2 * season2)p(~time + sex)f(~gpp_avg2 + season2 + sex)",31,17532.3486722993,3.25700000000143,0.163378470650649,695.58453
"158","~gpp_avg2 * season2 + sex","~time + sex","~rain_sum_lag2 + season2 + sex","Phi(~gpp_avg2 * season2 + sex)p(~time + sex)f(~rain_sum_lag2 + season2 + sex)",32,17539.912488681,10.8208163816198,0.00372162806480167,701.10955
"129","~gpp_avg2 * season2 + sex","~time","~gpp_avg2 + season2","Phi(~gpp_avg2 * season2 + sex)p(~time)f(~gpp_avg2 + season2)",30,17545.3470859729,16.2554136735162,0.000245824497716019,710.62075
"141","~gpp_avg2 * season2 + sex","~time","~rain_sum_lag2 * season2 + sex","Phi(~gpp_avg2 * season2 + sex)p(~time)f(~rain_sum_lag2 * season2 + sex)",32,17548.944488681,19.852816381619,4.06873202993968e-05,710.14146
"92","~gpp_avg2 * season2","~time","~rain_sum2 + season2 + sex","Phi(~gpp_avg2 * season2)p(~time)f(~rain_sum2 + season2 + sex)",30,17570.9250859729,41.8334136735175,6.86172061898046e-10,736.19901
"162","~gpp_avg2 * season2 + sex","~year2","~gpp_avg2 + season2","Phi(~gpp_avg2 * season2 + sex)p(~year2)f(~gpp_avg2 + season2)",19,17575.693502706,46.6018304066165,6.32389272360072e-11,763.29961
"163","~gpp_avg2 * season2 + sex","~year2","~gpp_avg2 * season2","Phi(~gpp_avg2 * season2 + sex)p(~year2)f(~gpp_avg2 * season2)",20,17576.3846315789,47.2929592796136,4.47618230616884e-11,761.9673
"114","~gpp_avg2 * season2","~year2","~gpp_avg2 * season2 + sex","Phi(~gpp_avg2 * season2)p(~year2)f(~gpp_avg2 * season2 + sex)",20,17580.4116315789,51.3199592796118,5.97662251942424e-12,765.99372
"420","~rain_cv_lag2 * season2 + sex","~year2","~rain_cv_lag2 * season2 + sex","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~rain_cv_lag2 * season2 + sex)",21,17586.4349783393,57.343306040013,2.94105195482335e-13,769.99195
"419","~rain_cv_lag2 * season2 + sex","~year2","~rain_cv_lag2 + season2 + sex","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~rain_cv_lag2 + season2 + sex)",20,17590.8346315789,61.7429592796107,3.2593435116689e-14,776.41665
"421","~rain_cv_lag2 * season2 + sex","~year2","~rain_sum2 + season2 + sex","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~rain_sum2 + season2 + sex)",20,17596.3146315789,67.2229592796139,2.10456941192122e-15,781.89698
"338","~rain_cv_lag2 + season2","~time + sex","~rain_sum2 * season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time + sex)f(~rain_sum2 * season2 + sex)",31,17598.6346722993,69.5430000000015,0,761.87088
"397","~rain_cv_lag2 * season2","~year2","~gpp_avg2 + season2 + sex","Phi(~rain_cv_lag2 * season2)p(~year2)f(~gpp_avg2 + season2 + sex)",19,17599.551502706,70.4598304066167,0,787.15805
"370","~rain_cv_lag2 + season2 + sex","~year2","~rain_cv_lag2 * season2 + sex","Phi(~rain_cv_lag2 + season2 + sex)p(~year2)f(~rain_cv_lag2 * season2 + sex)",20,17599.9606315789,70.8689592796109,0,785.54289
"418","~rain_cv_lag2 * season2 + sex","~year2","~oni_avg2 + season2 + sex","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~oni_avg2 + season2 + sex)",20,17600.7496315789,71.6579592796115,0,786.33155
